SEQUENCE_NUMBER,STATION_NAME,tMAX,tMIN,TOTAL_AF,TOTAL_RAINFALL
0,ABERPORTH,18.3,3.9,4,1008.4
1,ARMAGH,19.8,2.3,30,782.1
2,BALLYPATRICK FOREST,16.8,2.9,16,1354.8
3,BRADFORD,19.9,1.8,33,737.4
4,BRAEMAR,17.0,-1.6,108,670.4
5,CAMBORNE,18.7,5.3,2,1019.2
6,CAMBRIDGE NIAB,22.1,0.5,34,606.7
7,CARDIFF BUTE PARK,21.4,2.0,34,1025.3
8,CHIVENOR,20.2,3.7,7,936.8
10,DUNSTAFFNAGE,18.2,2.6,16,1667.6
12,EASTBOURNE,20.9,1.6,17,736.3
13,ESKDALEMUIR,17.1,-0.8,86,1742.7
14,HEATHROW,24.0,0.7,25,574.4
15,HURN,22.2,-0.1,38,766.3
16,LERWICK,14.7,2.3,24,1409.7
17,LEUCHARS,18.9,0.4,57,615.6
18,LOWESTOFT,21.6,1.6,23,569.6
19,MANSTON,22.8,0.7,25,512.0
20,NAIRN,18.3,1.1,48,706.8
21,NEWTON RIGG,18.3,-0.3,65,980.5
22,OXFORD,22.7,0.8,34,630.5
23,PAISLEY,18.7,-0.8,57,1214.3
25,ROSS-ON-WYE,22.4,0.9,36,640.3
26,SHAWBURY,21.7,0.9,48,668.4
27,SHEFFIELD,21.2,2.2,17,697.0
29,STORNOWAY AIRPORT,16.6,2.3,16,1237.0
30,SUTTON BONINGTON,21.9,1.0,35,648.2
31,TIREE,16.6,3.8,6,1335.8
32,VALLEY,18.8,4.3,11,870.0
33,WADDINGTON,21.3,1.0,28,583.6
34,WHITBY,19.8,2.0,21,1249.0
35,WICK AIRPORT,16.3,1.6,29,919.8
36,YEOVILTON,21.7,0.7,44,649.6
